PMID	Substances
24071615	Celecoxib
24071615	Ibuprofen
24071615	Piracetam
24042472	Pemetrexed
24042472	Guanine
24042472	Methotrexate
24002210	Ibuprofen
23954518	etiracetam
23954518	Acetaminophen
23954518	Caffeine
23954518	Celecoxib
23954518	Ibuprofen
23954518	Piracetam
23952611	Ibuprofen
23881568	Famotidine
23881568	Ibuprofen
23614290	Ibuprofen
23406450	Albuterol
23406450	Aspirin
23406450	Ibuprofen
23406450	Indomethacin
23238666	Aspirin
23092442	Acetaminophen
23092442	Naproxen
23092442	Celecoxib
23092442	Ibuprofen
23089131	Trichloroethylene
23089131	Naproxen
23089131	Valproic Acid
23089131	Gliclazide
23064032	Cytochrome P-450 CYP1A1
23064032	Cytochrome P-450 CYP3A
23025432	Curcumin
22962324	Diclofenac
22962324	Niacinamide
22962324	sorafenib
22962324	Extracellular Signal-Regulated MAP Kinases
22962324	Phospholipases A2, Cytosolic
22890587	etoricoxib
22890587	Naproxen
22890587	meloxicam
22890587	Aspirin
22890587	Ibuprofen
22890587	Cyclooxygenase 1
22890587	Cyclooxygenase 2
22890587	PTGS1 protein, human
22890587	PTGS2 protein, human
22882748	Collagen
22882748	Aspirin
22706619	Tramadol
22706619	Warfarin
22706619	Ibuprofen
22606944	CYP2C9 protein, human
22606944	Cytochrome P-450 CYP2C19
22606944	Cytochrome P-450 CYP2C9
22606944	CYP3A4 protein, human
22606944	Aryl Hydrocarbon Hydroxylases
22606944	CYP2C19 protein, human
22606944	Cytochrome P-450 CYP3A
22579578	Polyethylene Glycols
22579578	Castor Oil
22579578	Octoxynol
22579578	Ibuprofen
22560196	Ibuprofen
22531634	Diclofenac
22531634	Imatinib Mesylate
22531634	Ibuprofen
22479557	Creatinine
22479557	Potassium
22420652	Acetaminophen
22396078	gamma-Aminobutyric Acid
22396078	gabapentin
22396078	Ibuprofen
22357916	omega-N-Methylarginine
22357916	Ibuprofen
22357916	Nitric Oxide Synthase
22229883	Amikacin
22229883	Ibuprofen
22209120	Itraconazole
22209120	fluvastatin
22209120	caspofungin
22209120	terbinafine
22209120	Ibuprofen
24847536	Codeine
24847536	Ibuprofen
22122406	Aspirin
22122406	Ibuprofen
22085648	Sulindac
22085648	Naproxen
22085648	Valproic Acid
22085648	bis4-nitrophenyl)phosphate
22085648	Phenylglyoxal
22085648	Aspirin
22085648	benzil
22085648	Ibuprofen
22085648	Indomethacin
22085648	Carboxylic Ester Hydrolases
22085648	CES1 protein, human
22085648	CES2 protein, human
22085648	Carboxylesterase
22029226	Formaldehyde
22029226	Acetic Acid
22029226	piperine
22029226	Ibuprofen
21959726	Metformin
21959726	Ibuprofen
21840673	Itraconazole
21840673	Amphotericin B
21840673	Voriconazole
21840673	Ibuprofen
21781648	diclofenac hydroxyethylpyrrolidine
21781648	Diclofenac
21781648	Furosemide
21781648	Ibuprofen
21722228	Acetaminophen
21722228	Ibuprofen
21722088	Cimetidine
21722088	Cytochrome P-450 CYP2D6
21720137	Aspirin
21720137	Ibuprofen
21552200	etoricoxib
21552200	Acetaminophen
21552200	Celecoxib
21552200	Acetic Acid
21552200	Codeine
21552200	Ibuprofen
21508099	2-oxothiazolidine-4-carboxylic acid
21508099	Hydrogen Peroxide
21508099	Glutathione
21508099	Pyrrolidonecarboxylic Acid
21508099	Ibuprofen
21415533	Etodolac
21415533	loxoprofen
21415533	Thromboxane B2
21415533	Adenosine Diphosphate
21415533	Collagen
21415533	Aspirin
21415533	Ibuprofen
21415533	Cyclooxygenase 1
21389119	Sulfobromophthalein
21387168	Piroxicam
21387168	Diclofenac
21093475	Carbamazepine
21093475	oxcarbazepine
21073556	Aspirin
20977110	Ciprofloxacin
20977110	Ranitidine
20977110	Ibuprofen
20960989	tapentadol
20887749	Ketoprofen
20887749	Ibuprofen
20726987	methylglucoside
20726987	glycylsarcosine
20726987	Glycine
20726987	Ibuprofen
20655373	propionic acid
20655373	Povidone
20590643	Isosorbide Dinitrate
20590643	Ibuprofen
20558156	Acetaminophen
20558156	Codeine
20558156	Ibuprofen
20505747	p-Methoxy-N-methylphenethylamine
20505747	sertaconazole
20505747	Histamine
20505747	Prostaglandin D2
20505747	p38 Mitogen-Activated Protein Kinases
20356918	Pseudoephedrine
20356918	Ibuprofen
20214592	Aryl Hydrocarbon Hydroxylases
20214592	CYP2C8 protein, human
20214592	Cytochrome P-450 CYP2C8
20208470	Ibuprofen
20089905	Tyrosine
20089905	Naproxen
20089905	Ibuprofen
20089905	rhoA GTP-Binding Protein
20043424	Warfarin
20043424	Ibuprofen
20032540	Ibuprofen
19927376	Mifepristone
19927376	tetrahydropalmatine
19927376	Warfarin
19927376	Imipramine
19927376	Ibuprofen
19902529	Warfarin
19902529	Quercetin
19855358	Guaifenesin
19855358	Celecoxib
19855358	Acetic Acid
19855358	nimesulide
19855358	Ibuprofen
19719333	Cytochrome P-450 Enzyme System
19701859	Vancomycin
19701859	Amikacin
19701859	Ibuprofen
19701859	Indomethacin
19675513	rilmenidine
19675513	Acetic Acid
19675513	Ibuprofen
19492485	Clofibric Acid
19492485	Phenindione
19492485	Cyclosporine
19492485	Colchicine
19466986	Diclofenac
19466986	Thromboxane B2
19466986	Aspirin
19466986	Ibuprofen
19464879	7-hydroxywarfarin
19464879	Warfarin
19464879	CYP2C9 protein, human
19464879	Cytochrome P-450 CYP2C9
19464879	Aryl Hydrocarbon Hydroxylases
19464879	DNA Topoisomerases, Type II
19464879	DNA topoisomerase II beta
19416368	Fluconazole
19416368	Ibuprofen
19416368	Tacrolimus
19269752	Metronidazole
19269752	fluvastatin
19269752	Amphotericin B
19269752	terbinafine
19269752	Rifampin
19269752	Ibuprofen
19232345	Lansoprazole
19232345	Interferon-gamma
19232345	Omeprazole
19230597	rosiglitazone
19230597	Ciprofloxacin
19230597	Ibuprofen
19167421	Formaldehyde
19127220	Bilirubin
19127220	Ibuprofen
19127220	Casp3 protein, rat
19127220	Caspase 3
18978713	Ibuprofen
18953082	Hydrochlorothiazide
18953082	Piroxicam
18953082	Amlodipine
18953082	Acetaminophen
18953082	Lisinopril
18953082	Ibuprofen
18840026	etoricoxib
18760329	phenidone
18760329	Dopamine
18618308	baysilon
18618308	oxybenzone
18618308	Ibuprofen
18556069	Citrulline
18556069	Kainic Acid
18556069	Nitric Oxide Synthase
18445737	Acetaminophen
18445737	Ibuprofen
18421623	Febuxostat
18421623	Warfarin
18421623	Cytochrome P-450 Enzyme System
18421623	Ibuprofen
18421623	Xanthine Oxidase
18421623	Glucuronosyltransferase
18410516	Diclofenac
18410516	Ibuprofen
18359332	Aspirin
17870554	Aspirin
18348186	Catechin
18348186	epigallocatechin gallate
18348186	Ibuprofen
18348186	Protein Phosphatase 1
18335847	Aspirin
18335847	Ibuprofen
18298484	Methacholine Chloride
18298484	Salmeterol Xinafoate
18298484	Fluticasone
18298484	Albuterol
18298484	Ibuprofen
18280125	Ibuprofen
18225555	Catechin
18225555	epigallocatechin gallate
18225555	Ibuprofen
18225555	Mitogen-Activated Protein Kinases
18225555	Caspases
18224287	Acetone
18224287	resiniferatoxin
18224287	Tetradecanoylphorbol Acetate
18224287	Capsaicin
18224287	Ibuprofen
18224287	Peroxidase
18164916	Acetaminophen
18164916	Ethanol
18164916	Warfarin
18164916	Aspirin
18164916	Methotrexate
18159128	nateglinide
18159128	Phenylalanine
18159128	Cytochrome P-450 Enzyme System
18159128	CYP2C9 protein, human
18159128	Cytochrome P-450 CYP2C9
18159128	CYP3A4 protein, human
18159128	Aryl Hydrocarbon Hydroxylases
18159128	Cytochrome P-450 CYP3A
18043688	Aspirin
18043688	Ibuprofen
18001710	lauric acid
18001710	Propylene Glycol
17944992	Dipyrone
17944992	noramidopyrine
17944992	Aspirin
17944992	Cyclooxygenase 1
17926084	Aspirin
17926084	Ibuprofen
17844731	Aspirin
17844731	Ibuprofen
17628221	Caffeine
17628221	Ibuprofen
17604006	Celecoxib
17604006	Dinoprostone
17553913	Allopurinol
17553913	olsalazine
17553913	Methyltransferases
17553913	thiopurine methyltransferase
17481895	boswellic acid
17481895	Carrageenan
17481895	Glucosamine
17392619	Thromboxane A2
17392619	Aspirin
17392619	Ibuprofen
17392619	Cyclooxygenase 1
17392619	Cyclooxygenase 2
17335733	Phenytoin
17335733	Ibuprofen
17333976	Aspirin
17333976	Ibuprofen
17333159	Gemfibrozil
17333159	Ibuprofen
17333159	CYP2C9 protein, human
17333159	Cytochrome P-450 CYP2C9
17333159	Aryl Hydrocarbon Hydroxylases
17333159	CYP2C8 protein, human
17333159	Cytochrome P-450 CYP2C8
17302086	prothrombin complex concentrates
17302086	Warfarin
17302086	Acetazolamide
17302086	Ibuprofen
17297732	rofecoxib
17297732	Naproxen
17297732	Ibuprofen
17290524	Aspirin
17290524	Ibuprofen
17284505	Ibuprofen
17235401	cefditoren
17235401	Ibuprofen
17185297	Pyrazinamide
17185297	Aspirin
17185297	Ibuprofen
17182503	Celecoxib
17182503	Aspirin
17145791	Aspirin
17145791	Isoniazid
17145791	Ibuprofen
17078596	Thromboxane B2
17078596	Naproxen
17078596	clopidogrel
17078596	Ticlopidine
17078596	Aspirin
17078596	Ibuprofen
17027744	rofecoxib
17027744	N-2-cyclohexyloxy-4-nitrophenyl)methanesulfonamide
17027744	Formaldehyde
17027744	anandamide
17027744	capsazepine
17027744	Capsaicin
17027744	Ibuprofen
17008981	Cytochrome P-450 Enzyme System
17008981	clopidogrel
17008981	Ticlopidine
17008981	Aspirin
17008981	CYP3A4 protein, human
17008981	Cytochrome P-450 CYP3A
16999561	Amikacin
16999561	Ibuprofen
16999561	Indomethacin
16962719	Morphine
16921585	Aspirin
16921585	Ibuprofen
16911100	rofecoxib
16911100	Acetaminophen
16911100	Ibuprofen
16836983	Dexamethasone
16836983	Dinoprostone
16836983	Indomethacin
16741257	Dinoprostone
16741257	Ibuprofen
16741257	Cyclooxygenase 2
16741257	Phospholipases A
16741257	Ornithine Decarboxylase
16723553	Fluconazole
16723553	Voriconazole
16723553	Ibuprofen
16679073	Acetaminophen
16675319	Acetaminophen
16675319	Aspirin
16675319	Ibuprofen
16611202	Aspirin
16611202	Ibuprofen
16542861	Serotonin
16542861	Carrageenan
16542861	Duloxetine Hydrochloride
16542861	Acetic Acid
16542861	Ibuprofen
16542861	Norepinephrine
16494111	Thromboxane B2
16494111	Aspirin
16494111	Ibuprofen
16480830	Acetaminophen
16480822	anandamide
16480822	Ibuprofen
16435567	Ampicillin
16431382	Naproxen
16431382	Ibuprofen
16428497	Pemetrexed
16428497	Guanine
16428497	Creatinine
16428497	Aspirin
16428497	Ibuprofen
16428497	Thymidylate Synthase
16420743	DNA
16420743	Gentian Violet
16420743	Bisbenzimidazole
16420743	Thymidine
16420743	Ibuprofen
16420743	Caspases
16409487	Ethanol
16409487	Aspirin
16409487	Ibuprofen
16409487	ethyl oleate
16388830	Diclofenac
16388830	Thapsigargin
16388830	Caspases
16373546	Naproxen
16373546	Celecoxib
16373546	Aspirin
16373546	Ibuprofen
16373546	Cyclooxygenase 1
16373546	PTGS1 protein, human
16298872	Acetazolamide
16298872	Ibuprofen
16266203	Oxycodone
16266203	Ibuprofen
16250253	Ibuprofen
16242675	N,N,N',N'-tetrakis2-pyridylmethyl)ethylenediamine
16242675	Niflumic Acid
16242675	bafilomycin A1
16242675	sodium sulfide
16242675	Penicillamine
16242675	Zinc
16242675	Zinc Oxide
16242675	Acetylcysteine
16242675	zinquin
16207037	Silicon Dioxide
16207037	Diazepam
16207037	Ibuprofen
16134247	Aspirin
16134247	Ibuprofen
16115827	Itraconazole
16115827	Fluconazole
16115827	Voriconazole
16115827	Ibuprofen
16100300	Povidone
16100300	Lysine
16100300	solufenum
16100300	Ibuprofen
16078339	Aspirin
16078339	Ibuprofen
16044851	Ibuprofen
15977911	Aspirin
15950443	Benzydamine
15950443	baysilon
15950443	Ibuprofen
15913000	Acetaminophen
15913000	Aspirin
15913000	Ibuprofen
15906177	Naproxen
15906177	Povidone
15906177	Ibuprofen
15843212	Vanilmandelic Acid
15843212	Ibuprofen
15843212	Homovanillic Acid
15823765	Oxycodone
15823765	Ibuprofen
15811481	Thromboxane B2
15811481	Aspirin
15811481	Ibuprofen
15770754	Naproxen
15770754	Aspirin
15770754	Ibuprofen
15694272	Nitric Oxide
15694272	Dinoprostone
15694272	Pyridostigmine Bromide
15694272	Ibuprofen
15679664	Fluconazole
15679664	Ibuprofen
15659002	Acetaminophen
15659002	Aspirin
15659002	Ibuprofen
15575422	Aspirin
15575422	Ibuprofen
15511050	Acetaminophen
15511050	Ibuprofen
15511049	Acetaminophen
15511049	Ibuprofen
15505823	Vitamin A
15505823	1-Deoxynojirimycin
15505823	migalastat
15505823	Glutathione
15505823	Dinoprostone
15505823	Nitric Oxide Synthase
15505823	Nitric Oxide Synthase Type II
15505823	Nos2 protein, mouse
15505823	Cyclooxygenase 2
15505823	Prostaglandin-Endoperoxide Synthases
15482377	rofecoxib
15482377	Diclofenac
15482377	Flurbiprofen
15482377	Celecoxib
15482377	Aspirin
15482377	Ibuprofen
15482377	Cyclooxygenase 2
15482377	Prostaglandin-Endoperoxide Synthases
15456329	nabumetone
15332505	Ibuprofen
15331142	N-ethoxycarbonylmethyl)-6-methoxyquinolinium
15331142	Glutamic Acid
15282145	Polyethylene Glycols
15282145	Ibuprofen
15205386	Diclofenac
15205386	fluvastatin
15205386	Tolbutamide
15205386	Ibuprofen
15205386	CYP2C9 protein, human
15205386	Cytochrome P-450 CYP2C9
15205386	Aryl Hydrocarbon Hydroxylases
15197149	rofecoxib
15197149	Diclofenac
15197149	Naproxen
15197149	Aspirin
15197149	Ibuprofen
15131242	1-Methyl-4-phenylpyridinium
15106532	Aspirin
15106532	Ibuprofen
15101300	Acetaminophen
15101300	Naproxen
15101300	Celecoxib
15101300	Aspirin
15101300	Ibuprofen
15101300	Prostaglandin-Endoperoxide Synthases
15101300	cyclooxygenase-3
15095902	Fluoxetine
15095902	Ciprofloxacin
15095902	Ibuprofen
15078587	Aspirin
15078587	Ibuprofen
15058617	Cytochrome P-450 Enzyme System
15028355	Aspirin
15028355	Ibuprofen
15028354	Aspirin
15028354	Ibuprofen
14993258	Morphine
14993258	Aspirin
14993258	Ibuprofen
14993258	Arachidonate 12-Lipoxygenase
14976098	Aspirin
14960618	Glutamic Acid
14960618	N-Methylaspartate
14960618	Dynorphins
14960618	dynorphin 2-17)
14960618	Dinoprostone
14960618	Cyclooxygenase 1
14960618	Cyclooxygenase 2
14960618	Prostaglandin-Endoperoxide Synthases
14960618	Ptgs1 protein, rat
14871154	Ibuprofen
14734996	Aspirin
14734996	Ibuprofen
14713307	Tocopherols
14713307	Docosahexaenoic Acids
14713307	phenyl-N-tert-butylnitrone
14713307	Dinoprostone
14713307	Nitric Oxide Synthase
14713307	Nitric Oxide Synthase Type II
14713307	Nos2 protein, mouse
14691574	Diclofenac
14691574	Naproxen
14691574	Warfarin
14691574	Acenocoumarol
14691574	Ibuprofen
14691574	CYP2C9 protein, human
14691574	Cytochrome P-450 CYP2C9
14691574	Aryl Hydrocarbon Hydroxylases
14679326	Magnesium Hydroxide
14679326	Ibuprofen
14660026	Tramadol
14656840	Aspirin
14656840	Ibuprofen
14656809	Aspirin
14656809	Ibuprofen
14651311	Acetaminophen
14651311	Ibuprofen
14633549	Hydrocodone
14633549	Ibuprofen
14564311	rofecoxib
14564311	Naproxen
14564311	Epoprostenol
14564311	Aspirin
14564311	Cyclooxygenase 2
14564311	PTGS2 protein, human
14564311	Prostaglandin-Endoperoxide Synthases
14527099	Clonidine
14527090	Ibuprofen
12877565	Ibuprofen
12877565	potassium hydroxide
12823470	Egtazic Acid
12823470	fenamic acid
12823470	Capsaicin
12823470	Calcium
12823470	Ibuprofen
12818420	Ibuprofen
12739449	Aspirin
12739449	Ibuprofen
12737891	Aspirin
12737891	Ibuprofen
12737890	Aspirin
12737890	Ibuprofen
12737889	Aspirin
12737889	Ibuprofen
12737887	Aspirin
12737887	Ibuprofen
12737886	Aspirin
12737886	Ibuprofen
12737885	Aspirin
12737885	Ibuprofen
12710393	Aspirin
12710393	Ibuprofen
12705061	Cyclooxygenase 1
12705061	Cyclooxygenase 2
12705061	PTGS1 protein, human
12705061	PTGS2 protein, human
12705061	Prostaglandin-Endoperoxide Synthases
12598144	Aspirin
12598144	Ibuprofen
12580991	Caffeine
12580991	Probenecid
12580991	Ibuprofen
12580991	Cytochrome P-450 CYP1A2
12580991	Arylamine N-Acetyltransferase
12426936	Ibuprofen
12416791	rofecoxib
12416791	Celecoxib
12416791	Cyclooxygenase 2
12416791	PTGS2 protein, human
12416791	Prostaglandin-Endoperoxide Synthases
12416790	Cyclooxygenase 2
12416790	PTGS2 protein, human
12416790	Prostaglandin-Endoperoxide Synthases
12416789	rofecoxib
12416789	Celecoxib
12416789	Cyclooxygenase 2
12416789	PTGS2 protein, human
12416789	Prostaglandin-Endoperoxide Synthases
12211937	Acetaminophen
12169381	Centchroman
12136787	Thromboxane B2
12136787	Aspirin
12136787	Ibuprofen
12116507	Acetaminophen
12116507	Tramadol
12116507	Fluconazole
12116507	Epoprostenol
12116507	Celecoxib
12116507	Aspirin
12116507	Ibuprofen
12116507	Cyclooxygenase 2
12116507	PTGS2 protein, human
12116507	Prostaglandin-Endoperoxide Synthases
12108928	Acetic Acid
12108928	Ibuprofen
12108928	Alprazolam
12046769	Aspirin
12046769	Ibuprofen
12034553	Serotonin
12034553	Aspirin
12034553	Ibuprofen
11978144	fomivirsen
11934809	2-4-morpholinyl)-8-phenyl-4H-1-benzopyran-4-one
11934809	fulvestrant
11934809	Estradiol
11934809	Epoprostenol
11934809	Nitric Oxide Synthase
11934809	Nitric Oxide Synthase Type III
11934809	Nos3 protein, rat
11934809	Akt1 protein, rat
11934809	Protein-Serine-Threonine Kinases
11934809	Proto-Oncogene Proteins c-akt
11921591	Hydrochlorothiazide
11921591	Diclofenac
11921591	Sulindac
11921591	Lisinopril
11921591	Ibuprofen
11752357	rofecoxib
11752357	Diclofenac
11752357	Acetaminophen
11752357	Thromboxane B2
11752357	Dinoprostone
11752357	Aspirin
11752357	Ibuprofen
11752357	Cyclooxygenase 1
11752357	Cyclooxygenase 2
11752357	PTGS1 protein, human
11752357	PTGS2 protein, human
11752357	Prostaglandin-Endoperoxide Synthases
11700640	Acetaminophen
11700640	Ibuprofen
11694713	Acetaminophen
11694713	Ibuprofen
11680204	rofecoxib
11680204	Celecoxib
11680204	Cyclooxygenase 2
11680204	PTGS2 protein, human
11680204	Prostaglandin-Endoperoxide Synthases
11642076	Enalapril
11642076	Lisinopril
11642076	Aspirin
11642076	Ibuprofen
11642076	Indomethacin
11589261	rofecoxib
11589261	Angiotensin Amide
11589261	Celecoxib
11589261	Cyclooxygenase 1
11589261	Cyclooxygenase 2
11589261	PTGS1 protein, human
11589261	PTGS2 protein, human
11589261	Prostaglandin-Endoperoxide Synthases
11487305	Dactinomycin
11487305	Arachidonic Acid
11487305	Dexamethasone
11487305	Cycloheximide
11487305	Celecoxib
11487305	Indomethacin
11487305	Cyclooxygenase 2
11487305	Prostaglandin-Endoperoxide Synthases
11484412	Hyaluronic Acid
11484412	Ibuprofen
11475598	Naproxen
11475598	Ibuprofen
11446826	allyl alcohol
11446826	Cyclooxygenase 2
11446826	Prostaglandin-Endoperoxide Synthases
11408553	Ibuprofen
11388535	Phenylephrine
11388535	Arachidonic Acid
11388535	Epoprostenol
11388535	Calcium
11388535	Ibuprofen
11388535	Propofol
11269574	Naproxen
11269574	Ibuprofen
11269574	Metalloendopeptidases
11185632	Acetaminophen
11185632	telmisartan
11185632	Ibuprofen
11182854	Glyburide
11182854	Ibuprofen
11154035	Econazole
11154035	Ibuprofen
11019669	Aspirin
11019669	Ibuprofen
10994162	Ibuprofen
10966233	Fluconazole
10966233	Ibuprofen
10911512	zaleplon
10911512	Ibuprofen
10749518	Celecoxib
10749518	Cyclooxygenase 2
10749518	PTGS2 protein, human
10749518	Prostaglandin-Endoperoxide Synthases
10747002	Angiotensin II
10747002	4-3-Butoxy-4-methoxybenzyl)-2-imidazolidinone
10747002	11-deoxyprostaglandin E1
10747002	Alprostadil
10747002	Dinoprostone
10747002	Ibuprofen
10707114	Diazepam
10707114	Ibuprofen
10620732	Diclofenac
10620732	Clofibric Acid
10620732	Naproxen
10620732	Valproic Acid
10620732	Benzoic Acid
10620732	Physostigmine
10620732	Proadifen
10620732	Probenecid
10620732	Ibuprofen
10620732	Hydrolases
10566697	Ethanol
10566697	Aspirin
10566697	Ibuprofen
10566697	Peroxidases
10566697	Cyclooxygenase 1
10566697	Cyclooxygenase 2
10566697	PTGS1 protein, human
10566697	PTGS2 protein, human
10566697	Prostaglandin-Endoperoxide Synthases
10525081	Nitric Oxide
10525081	Dinoprostone
10525081	Ibuprofen
10525081	Nitric Oxide Synthase
10525081	NADPH Dehydrogenase
10519504	gamma-Aminobutyric Acid
10519504	gabapentin
10519504	Ibuprofen
10511472	Alprostadil
10511472	Dinoprostone
10511472	Isoproterenol
10511472	Ibuprofen
10511472	Indomethacin
10509552	Hydrochlorothiazide
10509552	Sulindac
10509552	Acetaminophen
10509552	nabumetone
10509552	Thromboxane B2
10509552	Sodium
10509552	Creatinine
10509552	Dinoprostone
10509552	Fosinopril
10509552	Ibuprofen
10493277	rofecoxib
10483516	Leukotriene B4
10483516	Theophylline
10483516	Cyclic AMP
10483516	Dinoprostone
10483516	Ibuprofen
10474781	Nitroarginine
10474781	icatibant
10474781	Bradykinin
10474781	Ibuprofen
10435655	Pancreatin
10435655	Ibuprofen
10429839	Cytochrome P-450 Enzyme System
10429839	Zanamivir
10429839	Neuraminidase
10395027	Flufenamic Acid
10395027	Cyclosporine
10395027	Aspirin
10395027	Indomethacin
10364464	Vincristine
10364464	Doxorubicin
10364464	Ibuprofen
10364464	Indomethacin
10364464	Cyclooxygenase 1
10364464	Cyclooxygenase 2
10364464	PTGS1 protein, human
10364464	PTGS2 protein, human
10364464	Prostaglandin-Endoperoxide Synthases
9951432	Hydrocodone
9951432	Ibuprofen
9833323	Cadmium
9833323	Platinum
9833323	Tolmetin
9833323	Zinc
9833323	Ibuprofen
9833323	Indomethacin
9821438	Acetaminophen
9821438	Ibuprofen
9808920	Desipramine
9808920	Ibuprofen
9725479	Codeine
9725479	Ibuprofen
9716894	Diltiazem
9716894	Ibuprofen
9675622	MK 0591
9675622	Leukotriene B4
9675622	Thromboxane B2
9675622	Leukotriene E4
9675622	Ibuprofen
9642033	Valproic Acid
9642033	Phenytoin
9569999	Methotrexate
9547810	Valproic Acid
9547810	Ibuprofen
9516027	Caffeine
9516027	Codeine
9516027	Ibuprofen
9515184	Ibuprofen
9495875	Clofibrate
9495875	Ibuprofen
9399974	Ketoprofen
9399974	Indomethacin
9399974	Methotrexate
9423147	Insulin Detemir
9298510	Amphetamine
9260035	Doxepin
9260035	Nadolol
9260035	Hydroxychloroquine
9260035	Flurbiprofen
9260035	Propafenone
9260035	Nortriptyline
9260035	Verapamil
9260035	Disopyramide
9260035	Ibuprofen
9274933	N-2-cyclohexyloxy-4-nitrophenyl)methanesulfonamide
9274933	Okadaic Acid
9274933	Meclofenamic Acid
9274933	Dexamethasone
9274933	flosulide
9274933	Dinoprostone
9274933	nimesulide
9274933	Ibuprofen
9274933	Indomethacin
9274933	Prostaglandin-Endoperoxide Synthases
9186171	Clofibric Acid
9186171	ciprofibrate
9186171	Ibuprofen
9200170	Flumazenil
9200170	Morphine
9200170	Diazepam
9200170	Ibuprofen
9127814	Arachidonic Acid
9127814	Nicotine
9127814	Muscarine
9127814	Histamine
9127814	indo-1
9127814	Dinoprostone
9127814	Potassium
9127814	Bradykinin
9127814	Calcium
9127814	Ibuprofen
9127814	Indomethacin
9073568	Dinoprostone
9073568	Ibuprofen
9162275	Tramadol
9004453	Sulfaphenazole
9004453	Diclofenac
9004453	Flurbiprofen
9004453	Cytochrome P-450 Enzyme System
9004453	Ketoprofen
9004453	Tolbutamide
9004453	Phenylbutazone
9004453	Mixed Function Oxygenases
9004453	CYP2C9 protein, human
9004453	Cytochrome P-450 CYP2C9
9004453	Aryl Hydrocarbon Hydroxylases
9004453	tolbutamide 4-hydroxylase
8997188	Hydrogen Peroxide
8997188	Ibuprofen
8997188	Prostaglandin-Endoperoxide Synthases
9252006	Piroxicam
9252006	Diclofenac
9252006	Etodolac
9252006	Naproxen
9252006	Dextromethorphan
9252006	Ibuprofen
8952254	Naproxen
8889788	Phosgene
8889788	Pentoxifylline
8889788	Ibuprofen
8866042	Flurbiprofen
8866042	Ibuprofen
8795442	Diclofenac
8795442	Creatinine
8795442	Ibuprofen
8795442	Sodium-Potassium-Exchanging ATPase
8657040	Warfarin
8657040	Ibuprofen
8810029	Clofibric Acid
8810029	Flurbiprofen
8810029	Coenzyme A
8810029	Ibuprofen
8738769	Carbamazepine
8738769	Naproxen
8738769	Valproic Acid
8738769	Tolmetin
8738769	Ibuprofen
8633709	Tacrine
8633709	Ibuprofen
8715844	Ibuprofen
8612107	Hydrochlorothiazide
8612107	Ibuprofen
8612107	Renin
8773160	Aspirin
8773160	Glyburide
8773160	Ibuprofen
8925650	Cholestyramine Resin
8925650	Colestipol
8925650	Ibuprofen
8748324	laurocapram
8748324	Caffeine
8748324	hydrocortisone acetate
8748324	salicylurate
8748324	Triamcinolone Acetonide
8748324	Salicylic Acid
8748324	Fluorouracil
8748324	Hydrocortisone
8592989	Econazole
8592989	nikkomycin
8592989	Ibuprofen
8592988	Fluconazole
8592988	Sodium Salicylate
8592988	Ibuprofen
8592988	propylparaben
8640357	Arachidonic Acid
8640357	Naproxen
8640357	Bucladesine
8640357	Thapsigargin
8640357	Dinoprostone
8640357	Ibuprofen
